label,n_configs,n_restarts_total,q_nuc_mean,q_nuc_se,q_nuc_min,q_nuc_max,seed_compactness_mean,seed_rg_mean,seed_perimeter_to_area_mean
1.05,8,128,0.296875,0.04217509738323925,0.125,0.4375,0.6508680555555555,1.4550055375608322,1.834077380952381
1.1,8,128,0.3359375,0.0332769007050794,0.1875,0.4375,0.5830687830687831,1.7504583714552955,1.7426704545454546
1.2,8,128,0.2890625,0.04248407658632652,0.125,0.4375,0.5889880952380953,1.7670171209606091,1.6690472839853645
1.5,8,128,0.28125,0.06360628057488842,0.0625,0.5625,0.546875,2.0008874951823596,1.6770146081988186
2.0,8,128,0.34375,0.048699607654623715,0.1875,0.5,0.38991372053872053,3.0242492246772965,1.763557547961112
3.0,8,128,0.375,0.05282214092053228,0.1875,0.6875,0.3919977591852592,3.740736165448257,1.5335551025154435
