metric,pearson_with_q_nuc,spearman_with_q_nuc,n_configs
p_seed,0.18504143905968484,0.13051361773487927,48
c_seed,0.007252861412113743,-0.029310237633105234,48
seed_compactness,-0.14396202285089996,-0.14448925316776856,48
seed_rg,0.02824190650149973,-0.010233371168839048,48
seed_perimeter,0.035922365086865735,0.005705224398823598,48
seed_perimeter_to_area,0.041735744117038266,0.1252850118397826,48
p_ordered_seed,0.017235318669409982,-0.06398484820100737,48
c_ordered_seed,-0.014383403073696262,-0.06583062639479997,48
