label,config_id,n_restarts,n_nucleated,q_nuc,mean_t_nuc_observed,p_seed,c_seed,seed_compactness,seed_bbox_area,seed_rg,seed_perimeter,seed_perimeter_to_area,p_ordered_seed,c_ordered_seed,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,ordered_seed_perimeter,ordered_seed_perimeter_to_area
1.05,0,16,5,0.3125,210.9,0.0576171875,7.0,0.5833333333333334,12.0,1.1065666703449764,14.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.05,1,16,6,0.375,177.45000000000002,0.067138671875,8.0,0.6666666666666666,12.0,1.165922381636102,14.0,1.75,0.0,0.0,0.0,0.0,,0.0,
1.05,2,16,7,0.4375,172.8857142857143,0.067626953125,16.0,0.5,32.0,2.2690168575839182,30.0,1.875,0.0,0.0,0.0,0.0,,0.0,
1.05,3,16,3,0.1875,237.70000000000002,0.07275390625,6.0,0.6666666666666666,9.0,1.0671873729054748,12.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.05,4,16,7,0.4375,200.74285714285716,0.067626953125,9.0,0.75,12.0,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,0.0,,0.0,
1.05,5,16,5,0.3125,240.14000000000001,0.072998046875,9.0,0.5625,16.0,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,0.0,,0.0,
1.05,6,16,3,0.1875,177.0666666666667,0.072265625,14.0,0.7777777777777778,18.0,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,0.0,,0.0,
1.05,7,16,2,0.125,248.5,0.063720703125,7.0,0.7,10.0,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,0.0,,0.0,
1.1,0,16,6,0.375,194.78333333333333,0.07421875,10.0,0.625,16.0,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,0.0,,0.0,
1.1,1,16,4,0.25,228.55,0.0771484375,25.0,0.46296296296296297,54.0,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,0.0,,0.0,
1.1,2,16,6,0.375,170.6833333333333,0.092041015625,16.0,0.45714285714285713,35.0,2.1560235388325424,26.0,1.625,0.0,0.0,0.0,0.0,,0.0,
