label,n,p_seed_mean,p_seed_se,c_seed_mean,c_seed_se,seed_compactness_mean,seed_compactness_se,seed_rg_mean,seed_rg_se,p_ordered_seed_mean,p_ordered_seed_se,c_ordered_seed_mean,c_ordered_seed_se,p_nuc,p_nuc_se,p_tr,p_tr_se
1.05,100,0.06820068359375,0.0006592150791769828,10.62,0.33568263029657686,0.5807129509379511,0.012370081501835401,1.6202408103928698,0.04114993971803527,0.0,0.0,0.0,0.0,0.4,0.04898979485566356,0.31,0.04624932431938871
1.1,100,0.0752783203125,0.0006056053626503387,11.01,0.3376971926732497,0.5553093073593074,0.010393313289288827,1.6268314148368581,0.034797126741748514,0.0,0.0,0.0,0.0,0.39,0.048774993593028795,0.35,0.047696960070847276
1.2,100,0.08716796875,0.0006415576372291382,12.59,0.38061486671920314,0.5408418461829175,0.012544568615537943,1.7964477714408116,0.03793139246576677,0.0,0.0,0.0,0.0,0.27,0.044395945760846225,0.22,0.04142463035441596
1.5,100,0.1277099609375,0.0006748850243943972,17.24,0.48286183899284857,0.4942166287196049,0.010585242170886784,2.1686846903350574,0.043401202589534074,0.0,0.0,0.0,0.0,0.31,0.04624932431938871,0.26,0.04386342439892262
2.0,100,0.1881298828125,0.0008952238551387505,24.31,0.7297010595878537,0.45213591470258135,0.00945624919577436,2.682661165931587,0.05923928833771378,9.765625e-06,4.808261366380185e-06,0.04,0.019694638556693237,0.29,0.045376205218153706,0.19,0.039230090491866064
3.0,100,0.28683837890625,0.0009441500473794188,42.24,1.0721563281160038,0.3962576951450347,0.008736613890783356,3.8346475538722875,0.08209385944621574,0.00026123046875,2.7158652901377223e-05,0.65,0.05388914922357194,0.4,0.04898979485566356,0.32,0.0466476151587624
