model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.05,0.3,0.021,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00341796875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.05,0.3,0.021,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00146484375,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.05,0.3,0.021,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.003662109375,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.05,0.3,0.021,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0029296875,1.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.05,0.3,0.021,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00390625,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.007080078125,4.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00341796875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0029296875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0048828125,4.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00439453125,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.2,0.3,0.024,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.005615234375,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.2,0.3,0.024,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.005126953125,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.2,0.3,0.024,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.004638671875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.2,0.3,0.024,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.004638671875,3.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.2,0.3,0.024,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.00732421875,2.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.5,0.3,0.03,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.013427734375,7.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.5,0.3,0.03,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.020263671875,5.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.5,0.3,0.03,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.013671875,5.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.5,0.3,0.03,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.014404296875,5.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,1.5,0.3,0.03,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.016845703125,5.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,2.0,0.3,0.04,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.028564453125,4.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,2.0,0.3,0.04,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.035400390625,8.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,2.0,0.3,0.04,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.04150390625,17.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,2.0,0.3,0.04,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.032958984375,10.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,2.0,0.3,0.04,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.029052734375,4.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,3.0,0.3,0.06,0,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.076904296875,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,3.0,0.3,0.06,1,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.102783203125,18.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,3.0,0.3,0.06,2,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.0986328125,15.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,3.0,0.3,0.06,3,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.085205078125,13.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.05,1.0,1.0,0.001,3.0,0.3,0.06,4,0.2297529205473612,0.9732489894677301,0.48662449473386504,0.4736067977499789,0.001,10,0.081298828125,16.0,nan,nan,nan
