model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.05,0.3,0.021,0,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.196533203125,23.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.05,0.3,0.021,1,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.1884765625,19.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.05,0.3,0.021,2,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.197509765625,23.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.05,0.3,0.021,3,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.191650390625,19.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.05,0.3,0.021,4,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.214599609375,25.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,0,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.2177734375,33.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,1,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.218505859375,20.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,2,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.2080078125,23.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,3,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.212158203125,26.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.1,0.3,0.022000000000000002,4,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.216064453125,35.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.2,0.3,0.024,0,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.238525390625,35.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.2,0.3,0.024,1,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.221923828125,19.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.2,0.3,0.024,2,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.2265625,26.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.2,0.3,0.024,3,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.216064453125,30.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.2,0.3,0.024,4,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.235595703125,27.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.5,0.3,0.03,0,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.276611328125,33.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.5,0.3,0.03,1,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.299560546875,36.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.5,0.3,0.03,2,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.2666015625,41.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.01,1.0,1.0,0.001,1.5,0.3,0.03,3,0.10050896200520829,0.9949361530051241,0.49746807650256203,0.4949489742783178,0.001,10,0.28759765625,46.0,nan,nan,nan
