model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0693359375,10.0,0.0,0.0,0.5555555555555556,18.0,1.6552945357246847,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.071044921875,11.0,0.0,0.0,0.5238095238095238,21.0,1.8982375470746455,0.0,0.0,nan,176.3,179.70000000000002,226.37161444927665
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072998046875,12.0,0.0,0.0,0.5714285714285714,21.0,2.0531141657924863,0.0,0.0,nan,239.0,240.9,285.73824895116286
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07666015625,9.0,0.0,0.0,0.5625,16.0,1.4487116456005886,0.0,0.0,nan,280.0,280.6,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06298828125,6.0,0.0,0.0,0.5,12.0,1.247219128924647,0.0,0.0,nan,287.1,288.40000000000003,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0634765625,10.0,0.0,0.0,0.6666666666666666,15.0,1.449137674618944,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.060546875,9.0,0.0,0.0,0.5625,16.0,1.3966450099973928,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072265625,12.0,0.0,0.0,0.5,24.0,1.622326861160982,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.060546875,14.0,0.0,0.0,0.4,35.0,2.353893864754869,0.0,0.0,nan,240.6,241.0,279.4445946985727
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0625,7.0,0.0,0.0,0.5833333333333334,12.0,1.1428571428571428,0.0,0.0,nan,145.3,145.9,192.61018597267108
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07275390625,10.0,0.0,0.0,0.5555555555555556,18.0,1.6552945357246849,0.0,0.0,nan,81.3,82.60000000000001,127.98020013708019
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06201171875,8.0,0.0,0.0,0.6666666666666666,12.0,1.2624381172952597,0.0,0.0,nan,136.9,137.5,181.86327829153734
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.062744140625,7.0,0.0,0.0,0.5833333333333334,12.0,1.1428571428571428,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.077392578125,13.0,0.0,0.0,0.43333333333333335,30.0,1.942973990817706,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.064697265625,9.0,0.0,0.0,0.6,15.0,1.4740554623801778,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0791015625,8.0,0.0,0.0,0.6666666666666666,12.0,1.340475661845451,0.0,0.0,nan,254.70000000000002,256.0,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072509765625,14.0,0.0,0.0,0.5,28.0,2.0714285714285716,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.058837890625,12.0,0.0,0.0,0.6,20.0,1.5877132402714709,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.068115234375,11.0,0.0,0.0,0.55,20.0,1.6006197146962735,0.0,0.0,nan,144.20000000000002,145.0,191.7492729241425
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.076171875,15.0,0.0,0.0,0.6,25.0,1.710100711784088,0.0,0.0,nan,251.9,253.3,294.44862326740383
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07080078125,7.0,0.0,0.0,0.5833333333333334,12.0,1.178030178747903,0.0,0.0,nan,247.20000000000002,248.0,292.17438870393755
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.071533203125,10.0,0.0,0.0,0.625,16.0,1.3638181696985856,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.060791015625,8.0,0.0,0.0,0.6666666666666666,12.0,1.2624381172952597,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,23,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06298828125,8.0,0.0,0.0,0.8,10.0,1.4469796128487782,0.0,0.0,nan,136.6,137.1,182.96807198716664
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06396484375,11.0,0.0,0.0,0.55,20.0,1.6363636363636362,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.057373046875,8.0,0.0,0.0,0.5,16.0,1.4737282653189494,0.0,0.0,nan,258.5,260.1,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.069091796875,13.0,0.0,0.0,0.5416666666666666,24.0,2.4129826371320187,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,27,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06494140625,10.0,0.0,0.0,0.5,20.0,1.5394804318340651,0.0,0.0,nan,286.2,288.0,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,28,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06640625,12.0,0.0,0.0,0.6,20.0,1.5634719199411433,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,29,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.05810546875,7.0,0.0,0.0,0.5833333333333334,12.0,1.2453996981544782,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.08056640625,15.0,0.0,0.0,0.5,30.0,1.9090428084368471,0.0,0.0,nan,223.1,223.8,269.4693178084269
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07080078125,8.0,0.0,0.0,0.8888888888888888,9.0,1.103970108290981,0.0,0.0,nan,274.6,276.2,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.088134765625,15.0,0.0,0.0,0.625,24.0,2.004439517116388,0.0,0.0,nan,288.1,288.8,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.082275390625,19.0,0.0,0.0,0.3958333333333333,48.0,2.363152033751963,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.067138671875,6.0,0.0,0.0,0.6666666666666666,9.0,1.0540925533894598,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0791015625,15.0,0.0,0.0,0.625,24.0,1.6573070526208074,0.0,0.0,nan,108.3,108.9,156.26777166698275
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0830078125,13.0,0.0,0.0,0.4642857142857143,28.0,2.1838568563966754,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.06396484375,9.0,0.0,0.0,0.5625,16.0,1.3425606637327303,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07470703125,13.0,0.0,0.0,0.5416666666666666,24.0,2.2819072267986655,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.080078125,11.0,0.0,0.0,0.6111111111111112,18.0,1.7344349116671738,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072021484375,8.0,0.0,0.0,0.5333333333333333,15.0,1.3635890143294642,0.0,0.0,nan,95.4,97.4,136.62172110633384
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.086181640625,10.0,0.0,0.0,0.5,20.0,1.5811388300841898,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.078857421875,21.0,0.0,0.0,0.6,35.0,2.1863314825236184,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.070556640625,8.0,0.0,0.0,0.8888888888888888,9.0,1.103970108290981,0.0,0.0,nan,141.70000000000002,143.4,174.63931470230864
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.070556640625,12.0,0.0,0.0,0.6,20.0,1.7219981933143185,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.064697265625,10.0,0.0,0.0,0.5,20.0,1.711724276862369,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.076416015625,15.0,0.0,0.0,0.42857142857142855,35.0,2.2410315085295482,0.0,0.0,nan,228.70000000000002,229.1,274.41103736227666
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.086181640625,19.0,0.0,0.0,0.30158730158730157,63.0,2.8634674755232514,0.0,0.0,nan,222.3,223.4,269.79267016423984
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.062255859375,8.0,0.0,0.0,0.6666666666666666,12.0,1.357847561400027,0.0,0.0,nan,192.3,193.20000000000002,234.85898289677797
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07470703125,8.0,0.0,0.0,0.6666666666666666,12.0,1.2930100540985752,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.077392578125,16.0,0.0,0.0,0.6666666666666666,24.0,1.7533450173881922,0.0,0.0,nan,nan,nan,nan
