model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,14.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07177734375,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,27,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.080078125,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,28,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076171875,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,29,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0693359375,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,30,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06787109375,20.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,31,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.063232421875,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,32,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.062744140625,8.0,0.0,0.0,249.70000000000002,253.0,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,33,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.075927734375,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,34,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06396484375,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,35,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068115234375,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,36,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07958984375,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,37,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0751953125,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,38,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0673828125,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,39,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076904296875,14.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,40,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.058837890625,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,41,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,42,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06591796875,6.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,43,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,44,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064208984375,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,45,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.061279296875,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,46,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064697265625,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,47,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060791015625,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,48,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06982421875,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,49,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060546875,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078125,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072265625,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06494140625,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078857421875,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076904296875,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0791015625,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0791015625,6.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0703125,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.08251953125,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0771484375,15.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068603515625,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076904296875,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.080078125,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.066650390625,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.080322265625,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.079345703125,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076416015625,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07568359375,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.074951171875,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076904296875,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07861328125,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,23,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0791015625,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076416015625,11.0,0.0,0.0,294.6,295.8,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078857421875,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.1,0.3,0.022000000000000002,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078857421875,13.0,0.0,0.0,233.9,237.20000000000002,280.81410340057937
