model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.05,0.3,0.052500000000000005,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.247314453125,46.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.05,0.3,0.052500000000000005,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.23876953125,37.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.05,0.3,0.052500000000000005,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.2470703125,42.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.05,0.3,0.052500000000000005,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.250732421875,32.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.05,0.3,0.052500000000000005,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.268798828125,35.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.1,0.3,0.05500000000000001,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.270751953125,43.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.1,0.3,0.05500000000000001,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.277587890625,30.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.1,0.3,0.05500000000000001,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.266845703125,28.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.1,0.3,0.05500000000000001,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.26416015625,35.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.1,0.3,0.05500000000000001,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.27294921875,36.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.2,0.3,0.06,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.286865234375,41.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.2,0.3,0.06,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.274169921875,34.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.2,0.3,0.06,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.281982421875,42.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.2,0.3,0.06,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.266357421875,36.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.2,0.3,0.06,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.297607421875,46.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.5,0.3,0.07500000000000001,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.330322265625,42.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.5,0.3,0.07500000000000001,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.358642578125,45.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.001,1.5,0.3,0.07500000000000001,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.32373046875,42.0,nan,nan,nan
