model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.061279296875,6.0,0.0,0.0,0.6666666666666666,9.0,1.0540925533894598,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,23,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06494140625,10.0,0.0,0.0,0.8333333333333334,12.0,1.3190905958272918,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,14.0,0.0,0.0,0.7,20.0,1.6536909861128892,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07177734375,13.0,0.0,0.0,0.43333333333333335,30.0,2.046789953176934,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,9.0,0.0,0.0,0.5625,16.0,1.405456737852613,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,27,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.080078125,11.0,0.0,0.0,0.9166666666666666,12.0,1.3298853489388902,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,28,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076171875,7.0,0.0,0.0,0.7777777777777778,9.0,1.0301575072754257,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,29,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0693359375,9.0,0.0,0.0,0.5625,16.0,1.3517250067329378,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,30,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06787109375,20.0,0.0,0.0,0.36363636363636365,55.0,3.136080356113344,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,31,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.063232421875,7.0,0.0,0.0,0.875,8.0,1.2777531299998799,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,32,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.062744140625,8.0,0.0,0.0,0.6666666666666666,12.0,1.3110110602126894,0.0,0.0,nan,249.70000000000002,253.0,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,33,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.075927734375,12.0,0.0,0.0,0.4,30.0,2.0378365434395804,0.0,0.0,nan,nan,nan,nan
