model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.066162109375,13.0,0.0,0.0,0.43333333333333335,30.0,1.8621105287554158,0.0,0.0,nan,203.6,205.4,297.7998514115899
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.0679931640625,13.0,0.0,0.0,0.4642857142857143,28.0,1.8007230631876348,0.0,0.0,nan,nan,nan,nan
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06121826171875,10.0,0.0,0.0,0.6666666666666666,15.0,1.4317821063276353,0.0,0.0,nan,nan,nan,nan
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.072509765625,14.0,0.0,0.0,0.56,25.0,1.6781914463529615,0.0,0.0,nan,272.1,277.3,nan
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06640625,16.0,0.0,0.0,0.5333333333333333,30.0,1.7973504805685507,0.0,0.0,nan,181.20000000000002,183.9,279.988612151176
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.0738525390625,18.0,0.0,0.0,0.42857142857142855,42.0,2.206192183518309,0.0,0.0,nan,182.5,183.5,266.1647502520748
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06719970703125,21.0,0.0,0.0,0.4375,48.0,2.402757297436736,0.0,0.0,nan,185.70000000000002,187.9,274.5073703606212
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06622314453125,13.0,0.0,0.0,0.65,20.0,1.5951108733329016,0.0,0.0,nan,205.3,207.5,298.02054360543605
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06793212890625,17.0,0.0,0.0,0.3469387755102041,49.0,2.769082893162311,0.0,0.0,nan,nan,nan,nan
phi6,preeq,128,1.0,0.02,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,40,0.06842041015625,13.0,0.0,0.0,0.43333333333333335,30.0,2.1838568563966754,0.0,0.0,nan,297.8,298.6,nan
