model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0654296875,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0869140625,14.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.084716796875,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0693359375,12.0,138.0,141.20000000000002,188.69663366059692
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072998046875,8.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.068603515625,10.0,127.5,128.3,169.86655138017508
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.086669921875,16.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0654296875,9.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.07470703125,11.0,197.5,198.0,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072021484375,12.0,112.0,112.60000000000001,155.34398966956442
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.073974609375,14.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0693359375,12.0,159.70000000000002,160.70000000000002,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072509765625,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.059326171875,9.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.068115234375,9.0,187.6,192.0,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.08984375,14.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.08447265625,15.0,105.9,109.8,154.2691215411095
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.10400390625,15.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.074462890625,15.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.087158203125,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.094970703125,14.0,75.10000000000001,76.2,122.2030105530061
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.08056640625,13.0,197.70000000000002,199.1,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.088134765625,14.0,72.7,75.2,123.94759325676284
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.086181640625,16.0,118.8,119.7,163.76553197197487
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0830078125,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.09619140625,10.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0830078125,9.0,nan,nan,nan
