model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0693359375,10.0,0.0,0.0,0.5555555555555556,18.0,1.6552945357246847,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071044921875,11.0,0.0,0.0,0.5238095238095238,21.0,1.8982375470746455,0.0,0.0,nan,270.0,277.8,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,12.0,0.0,0.0,0.5714285714285714,21.0,2.0531141657924863,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07666015625,9.0,0.0,0.0,0.5625,16.0,1.4487116456005886,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06298828125,6.0,0.0,0.0,0.5,12.0,1.247219128924647,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0634765625,10.0,0.0,0.0,0.6666666666666666,15.0,1.449137674618944,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060546875,9.0,0.0,0.0,0.5625,16.0,1.3966450099973928,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072265625,12.0,0.0,0.0,0.5,24.0,1.622326861160982,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060546875,14.0,0.0,0.0,0.4,35.0,2.353893864754869,0.0,0.0,nan,259.2,260.3,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0625,7.0,0.0,0.0,0.5833333333333334,12.0,1.1428571428571428,0.0,0.0,nan,242.5,244.8,285.39061649409325
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07275390625,10.0,0.0,0.0,0.5555555555555556,18.0,1.6552945357246849,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06201171875,8.0,0.0,0.0,0.6666666666666666,12.0,1.2624381172952597,0.0,0.0,nan,nan,nan,nan
