model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0693359375,10.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0576171875,8.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0712890625,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.064208984375,9.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.05517578125,10.0,46.2,49.6,95.73942782214804
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.085205078125,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072021484375,9.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.072998046875,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.074462890625,9.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.1,0.3,0.022000000000000002,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0732421875,7.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.098388671875,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.0986328125,26.0,99.2,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.082275390625,13.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.081298828125,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.2,0.3,0.024,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.074951171875,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.129150390625,18.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1279296875,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1318359375,30.0,85.3,86.5,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.115478515625,17.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.133056640625,21.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.18701171875,20.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.186279296875,16.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.20751953125,18.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.19873046875,23.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.187255859375,29.0,73.9,75.4,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.282470703125,46.0,99.10000000000001,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.3095703125,43.0,64.6,67.3,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.289794921875,29.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,100.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.293212890625,49.0,87.10000000000001,87.7,nan
