model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0693359375,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071044921875,11.0,0.0,0.0,270.0,277.8,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07666015625,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06298828125,6.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0634765625,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060546875,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072265625,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060546875,14.0,0.0,0.0,259.2,260.3,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0625,7.0,0.0,0.0,242.5,244.8,285.39061649409325
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07275390625,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06201171875,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.062744140625,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.077392578125,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064697265625,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0791015625,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072509765625,14.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.058837890625,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068115234375,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.076171875,15.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07080078125,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071533203125,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.060791015625,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,23,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06298828125,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06396484375,11.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.057373046875,8.0,0.0,0.0,286.90000000000003,289.5,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069091796875,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,27,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06494140625,10.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,28,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06640625,12.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,29,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.05810546875,7.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,30,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,15.0,0.0,0.0,230.3,231.8,279.03391876404663
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,31,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.063720703125,8.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,32,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07861328125,15.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,33,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0771484375,18.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,34,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.061767578125,5.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,35,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,15.0,0.0,0.0,114.8,115.9,163.48980371222078
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,36,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07470703125,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,37,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.05859375,9.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,38,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,13.0,0.0,0.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,500,0.02,1.0,1.0,0.008,1.05,0.3,0.021,39,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0712890625,10.0,0.0,0.0,nan,nan,nan
