model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,7.0,0.0,0.0,0.5833333333333334,12.0,1.1428571428571428,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.077880859375,14.0,0.0,0.0,0.56,25.0,1.6675167899898218,0.0,0.0,nan,132.1,135.25,179.8921875
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078369140625,7.0,0.0,0.0,0.4375,16.0,1.3401187885209798,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.05810546875,11.0,0.0,0.0,0.4583333333333333,24.0,1.8719327529067273,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07373046875,13.0,0.0,0.0,0.5416666666666666,24.0,1.7507394887293912,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0673828125,9.0,0.0,0.0,0.5,18.0,1.6703662642636565,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06591796875,6.0,0.0,0.0,0.75,8.0,1.0801234497346435,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078125,10.0,0.0,0.0,0.625,16.0,1.4730919862656235,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06982421875,10.0,0.0,0.0,0.5,20.0,1.6492422502470643,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072265625,16.0,0.0,0.0,0.64,25.0,1.653594569415369,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07080078125,11.0,0.0,0.0,0.55,20.0,1.6414063713879807,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.077392578125,10.0,0.0,0.0,0.4166666666666667,24.0,1.857417562100671,0.0,0.0,nan,237.70000000000002,241.9,277.15675015205494
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.082763671875,13.0,0.0,0.0,0.52,25.0,1.6641005886756872,0.0,0.0,nan,220.6,222.15,267.5827063893505
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064453125,12.0,0.0,0.0,0.48,25.0,1.7756063127218764,0.0,0.0,nan,100.2,101.7,150.86970235101836
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.05810546875,9.0,0.0,0.0,0.6,15.0,1.5634719199411433,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.067138671875,12.0,0.0,0.0,0.6,20.0,1.7598926734952396,0.0,0.0,nan,210.35,211.35,254.81519995729974
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.05859375,7.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.067626953125,13.0,0.0,0.0,0.5416666666666666,24.0,1.8300580389800492,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,12.0,0.0,0.0,0.6,20.0,1.5898986690282428,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072265625,11.0,0.0,0.0,0.6875,16.0,1.360602686099615,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0654296875,7.0,0.0,0.0,0.7777777777777778,9.0,1.1248582677159729,0.0,0.0,nan,160.8,161.95000000000002,199.81289210340626
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,14.0,0.0,0.0,0.4,35.0,2.105628996140525,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.01,300.0,500,0.02,1.0,1.0,0.009,1.05,0.3,0.021,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071044921875,19.0,0.0,0.0,0.6785714285714286,28.0,2.0787808061191053,0.0,0.0,nan,nan,nan,nan
