label,n_configs,n_restarts_total,q_nuc_mean,q_nuc_se,q_nuc_min,q_nuc_max,seed_compactness_mean,seed_rg_mean,seed_perimeter_to_area_mean
1.05,12,288,0.3055555555555555,0.032572331665440483,0.125,0.5,0.6225694444444444,1.6005907490828466,1.8268849206349207
1.1,12,288,0.3055555555555555,0.029611210604945894,0.125,0.4583333333333333,0.6170370370370369,1.5183154399193068,1.6926836643748409
1.2,12,288,0.2986111111111111,0.034722222222222224,0.125,0.5416666666666666,0.5716534391534392,1.7176247908042246,1.7912111309170131
1.5,12,288,0.3194444444444444,0.03602359246890683,0.125,0.5,0.4640290375409423,2.2026172674038755,1.7718798630563335
2.0,12,288,0.375,0.021759706994462228,0.2916666666666667,0.5416666666666666,0.3924095332577475,2.7445204814153548,1.7603257879838339
3.0,12,288,0.34375,0.03289044474036274,0.20833333333333334,0.625,0.39010120170834456,3.658601615830475,1.509477972804919
