label,config_id,n_restarts,n_nucleated,q_nuc,mean_t_nuc_observed,p_seed,c_seed,seed_compactness,seed_bbox_area,seed_rg,seed_perimeter,seed_perimeter_to_area,p_ordered_seed,c_ordered_seed,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,ordered_seed_perimeter,ordered_seed_perimeter_to_area
1.2,6,24,4,0.16666666666666666,177.10000000000002,0.088623046875,9.0,0.75,12.0,1.286204100310025,16.0,1.7777777777777777,0.0,0.0,0.0,0.0,,0.0,
1.2,7,24,5,0.20833333333333334,191.78,0.09033203125,12.0,0.8,15.0,1.467234738471584,16.0,1.3333333333333333,0.0,0.0,0.0,0.0,,0.0,
1.2,8,24,8,0.3333333333333333,188.05,0.0986328125,11.0,0.44,25.0,1.8181818181818181,20.0,1.8181818181818181,0.0,0.0,0.0,0.0,,0.0,
1.2,9,24,3,0.125,172.4,0.09033203125,7.0,0.5833333333333334,12.0,1.2453996981544782,14.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.2,10,24,13,0.5416666666666666,173.72307692307692,0.085693359375,17.0,0.4722222222222222,36.0,2.1693045781865616,32.0,1.8823529411764706,0.0,0.0,0.0,0.0,,0.0,
1.2,11,24,8,0.3333333333333333,234.35,0.091064453125,10.0,0.5,20.0,1.5099668870541498,18.0,1.8,0.0,0.0,0.0,0.0,,0.0,
1.5,0,24,6,0.25,182.41666666666666,0.1201171875,11.0,0.4583333333333333,24.0,1.7953106961937726,22.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.5,1,24,3,0.125,148.29999999999998,0.1318359375,24.0,0.5,48.0,2.494090237162864,40.0,1.6666666666666667,0.0,0.0,0.0,0.0,,0.0,
1.5,2,24,10,0.4166666666666667,195.93,0.12744140625,24.0,0.2962962962962963,81.0,3.29008400770828,48.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.5,3,24,11,0.4583333333333333,204.5636363636364,0.130859375,20.0,0.40816326530612246,49.0,2.308137777516758,32.0,1.6,0.0,0.0,0.0,0.0,,0.0,
1.5,4,24,6,0.25,192.25,0.132080078125,21.0,0.5,42.0,2.380952380952381,30.0,1.4285714285714286,0.0,0.0,0.0,0.0,,0.0,
1.5,5,24,4,0.16666666666666666,225.05,0.11572265625,10.0,0.4166666666666667,24.0,1.9621416870348585,20.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.5,6,24,12,0.5,193.01666666666665,0.14404296875,15.0,0.5357142857142857,28.0,2.072036035722674,28.0,1.8666666666666667,0.0,0.0,0.0,0.0,,0.0,
1.5,7,24,6,0.25,194.66666666666666,0.12939453125,15.0,0.4166666666666667,36.0,2.1123972690339814,26.0,1.7333333333333334,0.0,0.0,0.0,0.0,,0.0,
1.5,8,24,7,0.2916666666666667,182.15714285714284,0.13720703125,18.0,0.5,36.0,2.0374578689880276,32.0,1.7777777777777777,0.0,0.0,0.0,0.0,,0.0,
1.5,9,24,12,0.5,197.14166666666668,0.111328125,11.0,0.55,20.0,1.6464336614795303,22.0,2.0,0.0,0.0,0.0,0.0,,0.0,
1.5,10,24,7,0.2916666666666667,206.9,0.1318359375,17.0,0.4722222222222222,36.0,2.096297609553584,24.0,1.411764705882353,0.0,0.0,0.0,0.0,,0.0,
1.5,11,24,8,0.3333333333333333,192.9,0.114013671875,18.0,0.5142857142857142,35.0,2.23606797749979,32.0,1.7777777777777777,0.0,0.0,0.0,0.0,,0.0,
2.0,0,24,10,0.4166666666666667,184.12,0.19921875,29.0,0.4142857142857143,70.0,2.856038515979125,50.0,1.7241379310344827,0.0,0.0,0.0,0.0,,0.0,
2.0,1,24,7,0.2916666666666667,176.58571428571426,0.1767578125,18.0,0.3673469387755102,49.0,2.344549760667688,32.0,1.7777777777777777,0.0,0.0,0.0,0.0,,0.0,
2.0,2,24,8,0.3333333333333333,178.7625,0.1787109375,22.0,0.5238095238095238,42.0,2.2383767731354784,34.0,1.5454545454545454,0.0,0.0,0.0,0.0,,0.0,
2.0,3,24,10,0.4166666666666667,171.59,0.205078125,28.0,0.3888888888888889,72.0,3.4504510205041257,50.0,1.7857142857142858,0.0,0.0,0.0,0.0,,0.0,
2.0,4,24,10,0.4166666666666667,158.41000000000003,0.18505859375,13.0,0.37142857142857144,35.0,2.0754980866510833,26.0,2.0,0.0,0.0,0.0,0.0,,0.0,
2.0,5,24,8,0.3333333333333333,179.35000000000002,0.18994140625,32.0,0.3333333333333333,96.0,3.5723547906108095,60.0,1.875,0.0,0.0,0.0,0.0,,0.0,
2.0,6,24,10,0.4166666666666667,161.12,0.201904296875,35.0,0.35,100.0,3.5120782846558276,56.0,1.6,0.0,0.0,0.0,0.0,,0.0,
2.0,7,24,10,0.4166666666666667,212.49,0.1875,27.0,0.42857142857142855,63.0,2.851130259839664,40.0,1.4814814814814814,0.0,0.0,0.0,0.0,,0.0,
2.0,8,24,7,0.2916666666666667,241.09999999999997,0.214599609375,22.0,0.39285714285714285,56.0,2.519346629191094,42.0,1.9090909090909092,0.0,0.0,0.0,0.0,,0.0,
2.0,9,24,7,0.2916666666666667,242.04285714285717,0.19189453125,20.0,0.40816326530612246,49.0,2.376446927663229,38.0,1.9,0.0,0.0,0.0,0.0,,0.0,
2.0,10,24,8,0.3333333333333333,193.97500000000002,0.177490234375,18.0,0.28125,64.0,2.837687286471585,34.0,1.8888888888888888,0.0,0.0,0.0,0.0,,0.0,
2.0,11,24,13,0.5416666666666666,220.1076923076923,0.1865234375,22.0,0.4489795918367347,49.0,2.3002874416145445,36.0,1.6363636363636365,0.000244140625,1.0,1.0,1.0,0.0,4.0,4.0
3.0,0,24,7,0.2916666666666667,231.35714285714286,0.28955078125,52.0,0.48148148148148145,108.0,3.761766549636553,78.0,1.5,0.0,0.0,0.0,0.0,,0.0,
3.0,1,24,9,0.375,237.3222222222222,0.27294921875,38.0,0.35185185185185186,108.0,3.3837029986952905,54.0,1.4210526315789473,0.000244140625,1.0,1.0,1.0,0.0,4.0,4.0
3.0,2,24,8,0.3333333333333333,223.0,0.286865234375,42.0,0.358974358974359,117.0,4.152219852707153,66.0,1.5714285714285714,0.000244140625,1.0,1.0,1.0,0.0,4.0,4.0
3.0,3,24,10,0.4166666666666667,199.26000000000005,0.2880859375,46.0,0.35384615384615387,130.0,4.1360373901846765,66.0,1.434782608695652,0.00048828125,1.0,1.0,1.0,0.0,4.0,4.0
3.0,4,24,5,0.20833333333333334,224.01999999999998,0.27587890625,27.0,0.35064935064935066,77.0,3.02254900194121,44.0,1.6296296296296295,0.000244140625,1.0,1.0,1.0,0.0,4.0,4.0
3.0,5,24,10,0.4166666666666667,178.24,0.28369140625,39.0,0.3939393939393939,99.0,3.223638855202385,52.0,1.3333333333333333,0.0,0.0,0.0,0.0,,0.0,
3.0,6,24,15,0.625,215.22,0.281494140625,44.0,0.4888888888888889,90.0,3.5942878235719644,72.0,1.6363636363636365,0.0009765625,2.0,1.0,2.0,0.5,6.0,3.0
3.0,7,24,7,0.2916666666666667,233.67142857142855,0.294189453125,51.0,0.3269230769230769,156.0,4.118860698829585,82.0,1.607843137254902,0.00048828125,1.0,1.0,1.0,0.0,4.0,4.0
3.0,8,24,8,0.3333333333333333,197.675,0.27978515625,26.0,0.5306122448979592,49.0,2.5691616757176514,42.0,1.6153846153846154,0.0,0.0,0.0,0.0,,0.0,
3.0,9,24,6,0.25,194.5666666666667,0.2919921875,43.0,0.3412698412698413,126.0,4.051587300536292,70.0,1.627906976744186,0.00048828125,1.0,1.0,1.0,0.0,4.0,4.0
3.0,10,24,9,0.375,193.98888888888888,0.274169921875,31.0,0.4305555555555556,72.0,2.9533310705152513,38.0,1.2258064516129032,0.00048828125,1.0,1.0,1.0,0.0,4.0,4.0
3.0,11,24,5,0.20833333333333334,167.68,0.284423828125,49.0,0.2722222222222222,180.0,4.936076172427684,74.0,1.510204081632653,0.00048828125,1.0,1.0,1.0,0.0,4.0,4.0
